,index,CLEANED REASON,REASON,AVG SCORE,TO USER ACCOUNT,DATE,category
347,347,hard coordin pan payment ,for all her hard coordination with that PAN payment ,15.67,geleeroyale#3228,2021-11-24T23:00:00.000Z,
348,348,product comm call week prep gitcoin grant ,for productive comms call this week and prepping for gitcoin grants ,24.33,karmaticacid#1218,2021-12-01T23:00:00.000Z,
351,351,excel mate build giveth dapp readi launch ,for being excellent mates building the giveth dapp and having it ready for launch ,7.13,mohammad_ranjbar_z#2709,2021-12-08T23:00:00.000Z,
354,354,giveconomi crew 💜 best team ever giveth  ,the GIVECONOMY CREW 💜 best team ever <:Giveth:809539267248259092> ,4.47,mateodaza#3156,2021-12-08T23:00:00.000Z,
355,355,prompt answer support attitud ,for his prompt answers and supportive attitude! ,14.13,Carlos096#8712,2021-12-01T23:00:00.000Z,
356,356,support whenev need ,for his support whenever its needed ,18.33,mateodaza#3156,2021-11-24T23:00:00.000Z,
357,357,realli help fix product bug review code ,for being really helpful fixing production bugs and reviewing code! ,14.43,mateodaza#3156,2021-12-01T23:00:00.000Z,
359,359,super respons issu identifi ,for being super responsive to issues as they are identified ,14.43,mohammad_ranjbar_z#2709,2021-12-01T23:00:00.000Z,
361,361,alway investig fix bug giveth dm confus rage 🤣 ,for always investigating and fixing bugs on giveth when I DM him my confusion and rage 🤣 ,14.43,mateodaza#3156,2021-12-08T23:00:00.000Z,
364,364,come comm launch plan set outreach ,for coming up with comms launch plan and setting up outreach ,18.6,"Griff (💜,💜)#8888",2021-12-08T23:00:00.000Z,
365,365,excel mate build giveth dapp readi launch ,for being excellent mates building the giveth dapp and having it ready for launch ,25.33,MoeNick#1374,2021-12-08T23:00:00.000Z,
367,367,send pan payment find solut ,for sending out pan payments and finding solutions ,11.6,Danibelle the Uno and Only#6791,2021-12-02T23:00:00.000Z,
368,368,come comm launch plan set outreach ,for coming up with comms launch plan and setting up outreach ,14.27,ReForest,2021-12-08T23:00:00.000Z,
369,369,donat project test givback ,for donating to projects and testing GIVbacks ,14.7,karmaticacid#1218,2021-12-08T23:00:00.000Z,
370,370,coordin payment dev team ,for coordinating with me with the payments for the dev team! ,18.33,Amin#2164,2021-12-01T23:00:00.000Z,
373,373,alway respons help solv verif list issu ,for always being so responsive and helping me to solve verification/listing issues ,18.33,mateodaza#3156,2021-11-24T23:00:00.000Z,
374,374,everyon els help nrgiv post ,and everyone else who helped on the nrGIV post ,18.33,divine_comedian#5493,2021-12-01T23:00:00.000Z,
378,378,product giveconomi comm launch plan brianstorm session ,for productive GIVeconomy comms launch plan brianstorming session ,6.47,"Griff (💜,💜)#8888",2021-12-07T23:00:00.000Z,
380,380,manag dev dynam switch giveconomi giveth io ,for managing devs and dynamically switching between GIVeconomy and Giveth.io ,21.0,MoeNick#1374,2021-12-08T23:00:00.000Z,
383,383,donat verifi unverifi project givethio ,for donating to verified/unverified projects on givethio ,1.83,WhyldWanderer#7002,2021-12-08T23:00:00.000Z,
389,389,keep give block implement ,for keeping up with the giving blocks implementation ,21.0,"Griff (💜,💜)#8888",2021-11-17T23:00:00.000Z,
391,391,project verif week clarifi process specif situat ,for project verification this week & clarifying process for specific situations ,4.6,ReForest,2021-12-08T23:00:00.000Z,
392,392,verifi mani project ,for verifying many projects ,8.57,WhyldWanderer#7002,2021-12-01T23:00:00.000Z,
393,393,finish givdrop video ,for finishing GIVdrop video ,22.67,karmaticacid#1218,2021-12-01T23:00:00.000Z,
394,394,verifi mani project ,for verifying many projects ,16.1,ReForest,2021-12-01T23:00:00.000Z,
395,395,support board back giveth project verif ,for supporting me in on boarding back to giveth and project verification ,5.9,WhyldWanderer#7002,2021-12-01T23:00:00.000Z,
397,397,quick bug fix ,"for quick bug fixes, ",4.8,Carlos096#8712,2021-12-01T23:00:00.000Z,
399,399, prais prais great job give block project verif manag commun call ,!praise !praise for all the great job she's doing on giving blocks and project verification and managing community calls ,12.47,WhyldWanderer#7002,2021-11-24T23:00:00.000Z,
401,401,fix rip medic debt issu phewww ,fixing RIP medical debt issue phewww ,20.6,Carlos096#8712,2021-12-01T23:00:00.000Z,
402,402,solv bug garden push forward w deleg ,for solving bugs with the Garden and for pushing forward w delegation ,20.0,gabi,2021-11-24T23:00:00.000Z,
406,406,great thorough project verif team ,for being a great and thorough project verification team ,4.77,ReForest,2021-12-02T23:00:00.000Z,
407,407,great dev skill fixong bug ,for his great dev skills and fixong most of the bugs ,20.6,Carlos096#8712,2021-12-01T23:00:00.000Z,
408,408,great thorough project verif team ,for being a great and thorough project verification team ,5.9,WhyldWanderer#7002,2021-12-02T23:00:00.000Z,
412,412,tri sort madd around rip donat ,for trying to sort out the maddness around the RIP donation ,22.67,Carlos096#8712,2021-11-24T23:00:00.000Z,
413,413,knock rgiv dao blog post ,for knocking out the rGIV DAO blog post ,8.57,Danibelle the Uno and Only#6791,2021-12-01T23:00:00.000Z,
